ID	Chromosome	Start	Stop	Symbol	Biotype
ENSMUSG00000064345	MT	3914	4951	mt-Nd2	protein_coding
ENSMUSG00000064344	MT	3845	3913	mt-Tm	Mt_tRNA
ENSMUSG00000064343	MT	3772	3842	mt-Tq	Mt_tRNA
ENSMUSG00000064342	MT	3706	3774	mt-Ti	Mt_tRNA
ENSMUSG00000064341	MT	2751	3707	mt-Nd1	protein_coding
ENSMUSG00000064340	MT	2676	2750	mt-Tl1	Mt_tRNA
ENSMUSG00000064339	MT	1094	2675	mt-Rnr2	Mt_rRNA
ENSMUSG00000064338	MT	1025	1093	mt-Tv	Mt_tRNA
ENSMUSG00000064337	MT	70	1024	mt-Rnr1	Mt_rRNA
ENSMUSG00000064336	MT	1	68	mt-Tf	Mt_tRNA
ENSMUSG00000098458	17	34841809	34841871	Mir6971	miRNA
ENSMUSG00000087769	8	50563241	50563303	Gm23986	snRNA
ENSMUSG00000041534	14	33954022	33964216	Rbp3	protein_coding
ENSMUSG00000091041	8	110082803	110102753	Gm17720	protein_coding
ENSMUSG00000096239	2	10486423	10486512	Mir466b-4	miRNA
ENSMUSG00000068466	19	29160118	29160765	Gm5518	processed_pseudogene
ENSMUSG00000024645	18	84947294	84951524	Timm21	protein_coding
ENSMUSG00000077199	X	104070189	104070326	Gm22266	snoRNA
ENSMUSG00000077201	14	58650268	58650400	Gm25614	snoRNA
ENSMUSG00000039193	17	74426295	74459108	Nlrc4	protein_coding
ENSMUSG00000089074	12	80622830	80622933	Gm23817	snRNA
ENSMUSG00000077185	5	146834834	146834904	Gm25091	snoRNA
ENSMUSG00000024910	19	5465240	5468498	Ctsw	protein_coding
ENSMUSG00000045776	14	29018208	29033642	Lrtm1	protein_coding
ENSMUSG00000041840	18	77757567	77767780	Haus1	protein_coding
ENSMUSG00000019907	10	108162400	108277575	Ppp1r12a	protein_coding
ENSMUSG00000065329	5	23836167	23836321	Gm22054	snRNA
ENSMUSG00000096915	X	33955044	33956540	Gm2964	protein_coding
ENSMUSG00000049295	14	52006077	52020733	Zfp219	protein_coding
ENSMUSG00000106175	11	58954983	58955120	Gm44313	miRNA
ENSMUSG00000077315	10	69132882	69132998	Gm24172	snoRNA
ENSMUSG00000094567	7	59531515	59531593	Gm25230	snoRNA
ENSMUSG00000074026	8	126476248	126476412	Gm6091	processed_pseudogene
ENSMUSG00000042895	15	41865293	41869720	Abra	protein_coding
ENSMUSG00000024758	19	7425901	7483289	Rtn3	protein_coding
ENSMUSG00000040632	14	55518978	55524981	Nrl	protein_coding
ENSMUSG00000088781	6	145464189	145464303	Gm25373	snoRNA
ENSMUSG00000076163	5	111004144	111004252	Mir701	miRNA
ENSMUSG00000024074	17	78200248	78376592	Crim1	protein_coding
ENSMUSG00000093849	15	59977722	59978171	Gm7083	processed_pseudogene
ENSMUSG00000084600	17	32389011	32389069	Gm22201	miRNA
ENSMUSG00000098970	6	41602244	41602305	Gm27549	snRNA
ENSMUSG00000089054	18	9763160	9763262	Gm23350	snRNA
ENSMUSG00000084732	10	129172573	129172877	Gm25807	misc_RNA
ENSMUSG00000088138	9	102373118	102373220	Gm22894	snRNA
ENSMUSG00000100909	2	85753363	85754306	Olfr1010	pseudogene
ENSMUSG00000098328	13	56704030	56704199	Gm27271	misc_RNA
ENSMUSG00000042705	18	46958862	47087992	Commd10	protein_coding
ENSMUSG00000095734	7	59708469	59708562	Gm23767	snoRNA
ENSMUSG00000093254	1	84695839	84695915	Mir5126	miRNA
ENSMUSG00000019905	10	51614823	51631458	Gprc6a	protein_coding
ENSMUSG00000095447	6	133191792	133191901	Gm23403	miRNA
ENSMUSG00000022203	14	54916543	54926788	Efs	protein_coding
ENSMUSG00000065563	2	131288052	131288137	Mir103-2	miRNA
ENSMUSG00000064620	12	16939994	16940115	Gm22303	snoRNA
ENSMUSG00000088428	8	115052814	115052913	Gm22556	rRNA
ENSMUSG00000088468	12	61920574	61920677	Gm24750	snRNA
ENSMUSG00000076216	2	155356817	155356925	Mir695	miRNA
ENSMUSG00000098626	14	61648638	61648774	Gm27972	misc_RNA
ENSMUSG00000000365	14	56402697	56525032	Rnf17	protein_coding
ENSMUSG00000077495	9	99943709	99943842	Gm23594	snoRNA
ENSMUSG00000065319	17	84624402	84624510	Gm26066	snRNA
ENSMUSG00000037031	10	62185396	62231218	Tspan15	protein_coding
ENSMUSG00000084511	16	22595029	22595220	Gm22481	misc_RNA
ENSMUSG00000106195	14	70299922	70300007	Gm44340	miRNA
ENSMUSG00000089605	6	111603252	111603362	Gm22093	rRNA
ENSMUSG00000020547	12	36091846	36156825	Bzw2	protein_coding
ENSMUSG00000084505	1	119530211	119530314	Gm25322	snRNA
ENSMUSG00000077021	2	10507630	10507714	Mir467d	miRNA
ENSMUSG00000089576	2	21197690	21197866	Gm23007	misc_RNA
ENSMUSG00000094039	7	59887057	59887150	Snord116l5	snoRNA
ENSMUSG00000084559	X	88759474	88759553	Mir1906-2	miRNA
ENSMUSG00000071713	15	78325990	78351000	Csf2rb	protein_coding
ENSMUSG00000104734	2	10481761	10481847	Mir669a-5	miRNA
ENSMUSG00000070101	12	109611500	109611595	Mir341	miRNA
ENSMUSG00000084622	10	75442620	75442942	Gm25545	misc_RNA
ENSMUSG00000033122	13	64058274	64089201	Hsd17b3	protein_coding
ENSMUSG00000058550	16	48283735	48294292	Dppa4	protein_coding
ENSMUSG00000093251	16	10273750	10273821	Gm22932	miRNA
ENSMUSG00000094959	4	40850144	40850226	Gm24112	miRNA
ENSMUSG00000106578	17	27355738	27355799	Mir7217	miRNA
ENSMUSG00000075600	15	75754432	75841915	Zc3h3	protein_coding
ENSMUSG00000093071	4	140717043	140717106	Gm25951	miRNA
ENSMUSG00000022312	15	51786558	51865481	Eif3h	protein_coding
ENSMUSG00000077619	14	90356387	90356517	Gm25495	snoRNA
ENSMUSG00000094522	7	59612005	59612083	Gm22912	snoRNA
ENSMUSG00000093006	11	52099043	52099153	Gm24157	miRNA
ENSMUSG00000105025	11	87443237	87443451	Rnu3b1	snoRNA
ENSMUSG00000052713	18	54888045	54990180	Zfp608	protein_coding
ENSMUSG00000089034	11	12676933	12677073	Gm22156	snoRNA
ENSMUSG00000065036	6	131380273	131380406	Gm22362	snoRNA
ENSMUSG00000065420	11	87756841	87756955	Mir142b	miRNA
ENSMUSG00000093508	17	67026147	67026235	Mir5709	miRNA
ENSMUSG00000093368	2	118248689	118248782	Gm22800	miRNA
ENSMUSG00000065447	3	127545624	127545689	Mir302d	miRNA
ENSMUSG00000036167	15	93398350	93491913	Pphln1	protein_coding
ENSMUSG00000089274	1	122510549	122510697	Gm24547	snRNA
ENSMUSG00000096814	7	59540870	59540948	Gm25085	snoRNA
ENSMUSG00000095541	18	46367365	46367485	Gm24617	miRNA
ENSMUSG00000087841	4	34086126	34086233	Gm25623	snRNA
ENSMUSG00000074800	13	75644864	75645226	Gm4149	pseudogene
ENSMUSG00000099091	2	163068090	163068155	Mir7003	miRNA
ENSMUSG00000044147	12	69372150	69375979	Arf6	protein_coding
ENSMUSG00000035078	14	63523616	63543953	Mtmr9	protein_coding
ENSMUSG00000020590	12	35047189	35147469	Snx13	protein_coding
ENSMUSG00000087823	1	63575488	63575590	Gm22281	snRNA
ENSMUSG00000064829	2	26912218	26912291	Gm22879	snoRNA
ENSMUSG00000095350	8	123620241	123620359	Gm23284	rRNA
ENSMUSG00000058298	10	53536329	53630439	Mcm9	protein_coding
ENSMUSG00000064591	7	37824242	37824347	Gm22302	snRNA
ENSMUSG00000089445	6	81806791	81806908	Gm22530	snoRNA
ENSMUSG00000093203	2	127891988	127892113	Gm22411	miRNA
ENSMUSG00000098721	18	70516786	70516889	Mir6357	miRNA
ENSMUSG00000061126	17	32468462	32492479	Cyp4f39	protein_coding
ENSMUSG00000091039	16	89205861	89206388	Krtap20-2	protein_coding
ENSMUSG00000076141	17	46231531	46231619	Mir693	miRNA
ENSMUSG00000024922	19	5549137	5560575	Ovol1	protein_coding
ENSMUSG00000076445	7	25828632	25828727	Gm24865	miRNA
ENSMUSG00000089438	11	69240599	69240703	Gm23194	snRNA
ENSMUSG00000104757	8	67629014	67629106	Gm44391	miRNA
ENSMUSG00000024084	17	79051906	79090243	Qpct	protein_coding
ENSMUSG00000092009	16	49057486	49199104	Myh15	protein_coding
ENSMUSG00000077617	3	127005369	127005500	Gm25501	snoRNA
ENSMUSG00000046201	17	3114972	3198855	Scaf8	protein_coding
ENSMUSG00000098946	2	105123062	105123183	Gm27636	misc_RNA
ENSMUSG00000098381	3	97690509	97690562	Mir7225	miRNA
ENSMUSG00000056399	17	25298394	25300161	Prss34	protein_coding
ENSMUSG00000064493	12	111540941	111541067	Snora28	snoRNA
ENSMUSG00000071073	17	46254165	46257316	Lrrc73	protein_coding
ENSMUSG00000064675	15	24820545	24820702	Gm22810	snRNA
ENSMUSG00000024683	19	11770415	11774944	Mrpl16	protein_coding
ENSMUSG00000087760	15	23646420	23646577	Gm23980	snRNA
ENSMUSG00000021070	12	105563172	105593071	Bdkrb2	protein_coding
ENSMUSG00000098613	11	102999848	102999921	Mir6931	miRNA
ENSMUSG00000023945	17	54273594	54299034	Slc5a7	protein_coding
ENSMUSG00000043501	15	78850862	78855529	Lgals2	protein_coding
ENSMUSG00000093358	11	95963292	95963383	Mir3063	miRNA
ENSMUSG00000098787	9	108081498	108081583	Mir7088	miRNA
ENSMUSG00000096866	1	25279445	25279551	Gm22260	snRNA
ENSMUSG00000065158	13	12589565	12589791	Gm25483	snoRNA
ENSMUSG00000065648	X	153915116	153915215	Gm25895	snRNA
ENSMUSG00000044408	12	54645374	54656572	Sptssa	protein_coding
ENSMUSG00000095131	8	123555763	123555881	n-R5s110	rRNA
ENSMUSG00000106597	4	143136100	143136162	Mir7021	miRNA
ENSMUSG00000064052	14	122434854	122451115	Gm5089	protein_coding
ENSMUSG00000098917	8	8690093	8690162	Mir7654	miRNA
ENSMUSG00000024530	18	67464849	67480581	Slmo1	protein_coding
ENSMUSG00000024815	19	30003790	30006020	Trpd52l3	protein_coding
ENSMUSG00000088425	11	48684709	48684827	Gm24422	snoRNA
ENSMUSG00000093160	2	172864264	172864341	Gm22773	miRNA
ENSMUSG00000095284	X	54118995	54119101	Gm22550	snRNA
ENSMUSG00000078430	10	117248024	117250265	Gm10936	protein_coding
ENSMUSG00000084548	5	119297245	119297361	n-R5s175	rRNA
ENSMUSG00000091312	2	11625606	11626264	Gm17490	protein_coding
ENSMUSG00000035711	13	55523235	55528538	Dok3	protein_coding
ENSMUSG00000065518	11	77078064	77078172	Mir423	miRNA
ENSMUSG00000006736	10	127067317	127070261	Tspan31	protein_coding
ENSMUSG00000076287	1	131498639	131498802	Gm24273	miRNA
ENSMUSG00000088459	15	101369352	101369434	Mir1941	miRNA
ENSMUSG00000059408	17	12876034	12877842	Mrgprh	protein_coding
ENSMUSG00000064452	12	109631074	109631148	Gm24564	snoRNA
ENSMUSG00000034435	12	73543114	73546395	Tmem30b	protein_coding
ENSMUSG00000093009	17	34950952	34951017	Snord52	snoRNA
ENSMUSG00000063011	17	25748614	25754327	Msln	protein_coding
ENSMUSG00000096199	12	4234027	4240123	Ptrhd1	protein_coding
ENSMUSG00000044250	15	97247107	97385689	Pced1b	protein_coding
ENSMUSG00000098886	9	58221150	58221254	Mir6385	miRNA
ENSMUSG00000025019	19	41482645	41562246	Lcor	protein_coding
ENSMUSG00000094372	5	135643955	135644336	Gm21839	pseudogene
ENSMUSG00000095972	18	67174885	67174991	Gm23512	snRNA
ENSMUSG00000025047	19	47090766	47131143	Pdcd11	protein_coding
ENSMUSG00000099324	5	122682597	122682715	Mir8115	miRNA
ENSMUSG00000045763	15	25363285	25413764	Basp1	protein_coding
ENSMUSG00000098943	11	87443237	87443452	Rnu3b1	snoRNA
ENSMUSG00000092827	2	180257536	180257611	Mir3091	miRNA
ENSMUSG00000079414	17	57092035	57105942	Gm11110	protein_coding
ENSMUSG00000022546	15	76696764	76699674	Gpt	protein_coding
ENSMUSG00000023018	15	99702287	99713995	Smarcd1	protein_coding
ENSMUSG00000093983	19	3136984	3137090	Gm25431	snRNA
ENSMUSG00000087957	18	63509895	63510014	Gm22560	rRNA
ENSMUSG00000071295	13	66852174	66854872	Gm10323	protein_coding
ENSMUSG00000093995	2	10494321	10494443	Gm26426	miRNA
ENSMUSG00000079007	12	105202422	105206993	Tcl1b4	protein_coding
ENSMUSG00000094969	17	26580802	26580927	Gm22420	miRNA
ENSMUSG00000004187	15	76660641	76668196	Kifc2	protein_coding
ENSMUSG00000077050	3	73146849	73146958	Gm24544	miRNA
ENSMUSG00000037361	12	4817608	4827658	Sf3b6	protein_coding
ENSMUSG00000021112	12	78748947	78840711	Mpp5	protein_coding
ENSMUSG00000065277	8	37317477	37317578	Gm25126	snRNA
ENSMUSG00000091297	4	120588745	120609673	Gm8439	protein_coding
ENSMUSG00000065126	11	106500993	106501062	Snord104	snoRNA
ENSMUSG00000077190	3	57054150	57054279	Gm22269	snoRNA
ENSMUSG00000098484	6	52261154	52261212	Gm27280	misc_RNA
ENSMUSG00000024525	18	67289253	67319146	Impa2	protein_coding
ENSMUSG00000095818	X	89849394	89849503	Gm24954	miRNA
ENSMUSG00000093660	2	113288273	113288438	Gm26505	snRNA
ENSMUSG00000077981	2	10471953	10472046	Mir466f-3	miRNA
ENSMUSG00000025209	19	45006558	45012762	Twnk	protein_coding
ENSMUSG00000096744	10	100361338	100362247	Gm4307	protein_coding
ENSMUSG00000099191	14	51837151	51837257	Gm27375	miRNA
ENSMUSG00000099001	7	91126348	91126555	Gm27660	misc_RNA
ENSMUSG00000033644	14	70372480	70429094	Piwil2	protein_coding
ENSMUSG00000021876	14	51091077	51106151	Rnase4	protein_coding
ENSMUSG00000064836	14	27527751	27527848	Gm25697	snoRNA
ENSMUSG00000095701	3	96328425	96328590	Gm24830	snRNA
ENSMUSG00000056073	10	49099843	49783259	Grik2	protein_coding
ENSMUSG00000021278	12	111271111	111276426	Amn	protein_coding
ENSMUSG00000099330	7	44538106	44538178	Mir7053	miRNA
ENSMUSG00000106183	9	3038669	3038743	Mir101c	miRNA
ENSMUSG00000043190	13	76001535	76018712	Rfesd	protein_coding
ENSMUSG00000099284	5	110666075	110666141	Mir7026	miRNA
ENSMUSG00000021982	14	59560896	59597836	Cdadc1	protein_coding
ENSMUSG00000096565	7	59598904	59598982	Gm24100	snoRNA
ENSMUSG00000094103	12	55199533	55214076	1700047I17Rik2	protein_coding
ENSMUSG00000065651	17	36842226	36842352	Gm25973	snoRNA
ENSMUSG00000090592	9	13444034	13446753	Gm17571	protein_coding
ENSMUSG00000078008	7	3218919	3219000	Mir291a	miRNA
ENSMUSG00000038594	10	53278081	53379851	Cep85l	protein_coding
ENSMUSG00000076338	8	84178716	84178787	Mir181d	miRNA
ENSMUSG00000095786	2	10491860	10491983	Gm24673	miRNA
ENSMUSG00000039878	10	128395934	128401224	Slc39a5	protein_coding
ENSMUSG00000062054	12	21316392	21323605	Iah1	protein_coding
ENSMUSG00000074635	13	119487261	119488383	3110070M22Rik	protein_coding
ENSMUSG00000093075	11	120068127	120068238	Gm25948	miRNA
ENSMUSG00000062582	12	99047230	99047577	Rpl30-ps8	processed_pseudogene
ENSMUSG00000059669	12	24498581	24558571	Taf1b	protein_coding
ENSMUSG00000010663	19	10182888	10196870	Fads1	protein_coding
ENSMUSG00000088565	12	11688697	11689004	Gm23781	misc_RNA
ENSMUSG00000095834	16	3730510	3731025	Tdgf1-ps1	processed_pseudogene
ENSMUSG00000050891	15	58890153	58933730	Tatdn1	protein_coding
ENSMUSG00000033762	15	76703553	76710559	Recql4	protein_coding
ENSMUSG00000094507	Y	74623896	74624978	Gm21913	protein_coding
ENSMUSG00000088485	11	98870396	98870499	Gm23640	snRNA
ENSMUSG00000067331	5	44983861	44984242	Gm10205	pseudogene
ENSMUSG00000061619	4	52496939	52497244	Vma21-ps	protein_coding
ENSMUSG00000084683	X	140641960	140642261	Gm22025	misc_RNA
ENSMUSG00000078429	10	126978717	126999975	Ctdsp2	protein_coding
ENSMUSG00000094384	6	123623932	123624063	Gm25065	snoRNA
ENSMUSG00000090551	4	108847399	108848619	A730015C16Rik	protein_coding
ENSMUSG00000065623	4	132547104	132547207	Gm24762	snRNA
ENSMUSG00000095104	17	39640957	39645666	Esp15	protein_coding
ENSMUSG00000010376	14	55662265	55671906	Nedd8	protein_coding
ENSMUSG00000096811	7	59452983	59453061	Gm25088	snoRNA
ENSMUSG00000087798	10	93916169	93916336	Gm25962	snoRNA
ENSMUSG00000088398	9	44395797	44395915	Gm26306	snoRNA
ENSMUSG00000091775	17	47016696	47016956	Gm16494	protein_coding
ENSMUSG00000095915	8	123564286	123564404	n-R5s115	rRNA
ENSMUSG00000084640	3	107415863	107416195	Gm24383	misc_RNA
ENSMUSG00000045136	13	34127008	34130354	Tubb2b	protein_coding
ENSMUSG00000022013	14	77826217	77874917	Dnajc15	protein_coding
ENSMUSG00000065404	X	67988096	67988161	Mir201	miRNA
ENSMUSG00000076335	2	94261300	94261399	Mir670	miRNA
ENSMUSG00000095476	7	59473776	59473854	Gm25077	snoRNA
ENSMUSG00000070511	7	71348961	71351485	Gm10295	protein_coding
ENSMUSG00000098361	9	45266643	45266707	Mir7086	miRNA
ENSMUSG00000095998	7	14912358	14912462	Gm24701	snRNA
ENSMUSG00000065700	8	112062505	112062611	Gm22827	snRNA
ENSMUSG00000078377	12	12023043	12023657	Gm4294	processed_pseudogene
ENSMUSG00000024036	17	31295483	31350696	Slc37a1	protein_coding
ENSMUSG00000089510	3	132537560	132537665	Gm25307	snRNA
ENSMUSG00000093344	5	141080431	141080509	Gm26113	miRNA
ENSMUSG00000065737	8	86292501	86292598	Gm24490	snRNA
ENSMUSG00000034509	17	46147390	46153553	Mad2l1bp	protein_coding
ENSMUSG00000105790	5	149247950	149248027	AC122546.1	miRNA
ENSMUSG00000079039	2	131133497	131134215	Gm11037	protein_coding
ENSMUSG00000092686	10	86705316	86705448	Gm25745	miRNA
ENSMUSG00000037202	10	61297836	61304263	Prf1	protein_coding
ENSMUSG00000070227	3	24562074	24562180	Gm24704	snRNA
ENSMUSG00000072571	14	52016865	52019787	Tmem253	protein_coding
ENSMUSG00000080590	3	55162314	55162434	Gm22029	miRNA
ENSMUSG00000065881	9	90351995	90352171	Gm22866	snRNA
ENSMUSG00000021367	13	42301270	42307989	Edn1	protein_coding
ENSMUSG00000021253	12	86056744	86079041	Tgfb3	protein_coding
ENSMUSG00000106221	4	149817764	149817823	AL626808.1	miRNA
ENSMUSG00000077161	4	62812428	62812560	Gm24117	snoRNA
ENSMUSG00000099140	8	121978024	121978086	Mir7237	miRNA
ENSMUSG00000092130	12	84875769	84878132	D030025P21Rik	protein_coding
ENSMUSG00000087819	10	111481493	111481636	Gm25117	snoRNA
ENSMUSG00000096296	7	44249852	44249941	Snord88c	snoRNA
ENSMUSG00000093079	6	118429170	118429252	Gm25953	miRNA
ENSMUSG00000020064	10	63243797	63317881	Herc4	protein_coding
ENSMUSG00000047168	19	20586074	20586757	Gm6684	processed_pseudogene
ENSMUSG00000043498	18	89293502	89297229	9330132A10Rik	pseudogene
ENSMUSG00000092764	5	149145724	149145821	Gm23362	snoRNA
ENSMUSG00000075864	8	128650997	128651103	Gm26002	snRNA
ENSMUSG00000088098	18	26495435	26495565	Gm23674	snoRNA
ENSMUSG00000090881	14	59244441	59260216	Gm6904	protein_coding
ENSMUSG00000023953	17	46172004	46202625	Polh	protein_coding
ENSMUSG00000057605	19	45450308	45451195	Gm6807	processed_pseudogene
ENSMUSG00000094308	7	59477493	59477571	Gm24926	snoRNA
ENSMUSG00000088465	10	107136974	107137058	Gm24745	snoRNA
ENSMUSG00000077642	10	72527550	72527682	Gm24984	snoRNA
ENSMUSG00000024896	19	32485769	32515370	Minpp1	protein_coding
ENSMUSG00000095474	X	123581700	123602134	Cldn34c2	protein_coding
ENSMUSG00000022382	15	85535439	85581821	Wnt7b	protein_coding
ENSMUSG00000105477	17	91088406	91088550	AC151286.1	miRNA
ENSMUSG00000104996	11	69882032	69882094	Mir6924	miRNA
ENSMUSG00000071040	17	80938334	80938714	Gm9386	processed_pseudogene
ENSMUSG00000088440	18	56192999	56193133	Gm23555	snoRNA
ENSMUSG00000088435	13	79161719	79161862	Gm25383	snoRNA
ENSMUSG00000076246	13	62466865	62466971	Gm22256	miRNA
ENSMUSG00000035129	14	18531363	18532460	Gm6781	processed_pseudogene
ENSMUSG00000098473	9	21809941	21810000	Mir7083	miRNA
ENSMUSG00000065794	2	116968039	116968173	Gm25514	snRNA
ENSMUSG00000087766	6	42832779	42832884	Gm23982	snRNA
ENSMUSG00000075553	14	66868850	66871005	Gm5464	protein_coding
ENSMUSG00000045211	14	70577847	70582571	Nudt18	protein_coding
ENSMUSG00000091731	10	58713606	58718210	Gm17542	protein_coding
ENSMUSG00000084560	2	11087781	11087913	Gm26478	snRNA
ENSMUSG00000078117	9	8971791	8975773	Gm16485	protein_coding
ENSMUSG00000092812	4	134468364	134468454	Gm23634	miRNA
ENSMUSG00000104797	3	34638464	34638542	Mir1897	miRNA
ENSMUSG00000089078	5	75561046	75561150	Gm24502	snRNA
ENSMUSG00000094523	10	96164331	96164431	Gm22913	miRNA
ENSMUSG00000006464	19	4886898	4906627	Bbs1	protein_coding
ENSMUSG00000096812	7	59582063	59582140	Gm25087	snoRNA
ENSMUSG00000035678	17	57105385	57107757	Tnfsf9	protein_coding
ENSMUSG00000090666	10	33994989	33995054	Gm17567	protein_coding
ENSMUSG00000092765	2	32318265	32318343	Gm23363	miRNA
ENSMUSG00000105799	2	26591363	26591420	Mir126b	miRNA
ENSMUSG00000089066	9	82439414	82439474	Gm22836	snRNA
ENSMUSG00000054150	12	104929949	105009809	Syne3	protein_coding
ENSMUSG00000022476	15	81915030	81926213	Polr3h	protein_coding
ENSMUSG00000044937	10	86705811	86776843	Ttc41	protein_coding
ENSMUSG00000089405	14	75745849	75745940	Gm24876	rRNA
ENSMUSG00000071280	10	59616063	59616398	Gm10322	protein_coding
ENSMUSG00000087908	1	102953415	102953548	Gm22034	snoRNA
ENSMUSG00000092816	18	9827026	9827119	Gm23637	miRNA
ENSMUSG00000045912	10	79606857	79614025	C2cd4c	protein_coding
ENSMUSG00000054863	15	87625230	87759336	Fam19a5	protein_coding
ENSMUSG00000089206	1	105945554	105945660	Gm26214	snRNA
ENSMUSG00000065079	3	90560556	90560702	Gm23464	snRNA
ENSMUSG00000037525	15	99470084	99474730	Bcdin3d	protein_coding
ENSMUSG00000009681	10	75060896	75184923	Bcr	protein_coding
ENSMUSG00000074029	9	119159161	119161669	Gm10608	protein_coding
ENSMUSG00000093852	8	123582850	123582968	Gm24312	rRNA
ENSMUSG00000052469	17	13354572	13377223	Tcp10c	protein_coding
ENSMUSG00000065803	7	98506954	98507116	Gm23040	snRNA
ENSMUSG00000065582	19	6264643	6264728	Mir194-2	miRNA
ENSMUSG00000096245	9	110925403	110925479	Gm24269	miRNA
ENSMUSG00000090497	13	49976258	49976488	Gm17611	protein_coding
ENSMUSG00000050350	14	121911435	121915774	Gpr18	protein_coding
ENSMUSG00000096849	17	15837549	15837655	Gm25598	snRNA
ENSMUSG00000020219	10	80899450	80900969	Timm13	protein_coding
ENSMUSG00000037003	15	102102988	102116401	Tns2	protein_coding
ENSMUSG00000098887	10	20297581	20297688	Mir6413	miRNA
ENSMUSG00000095111	13	62136762	62136831	Gm23713	snoRNA
ENSMUSG00000089146	10	94948590	94948893	Gm25266	misc_RNA
ENSMUSG00000098280	8	120538696	120538754	Mir7687	miRNA
ENSMUSG00000088343	10	104224838	104224899	Gm22339	snRNA
ENSMUSG00000064468	2	38480338	38480445	Gm25081	snRNA
ENSMUSG00000089346	12	51740241	51740342	Gm22663	snRNA
ENSMUSG00000096748	2	10492421	10492546	Gm22635	miRNA
ENSMUSG00000024870	19	5099207	5106996	Rab1b	protein_coding
ENSMUSG00000096005	13	79454970	79455076	Gm24863	snRNA
ENSMUSG00000084477	6	140530963	140531215	Gm25780	misc_RNA
ENSMUSG00000065185	4	116674153	116674262	Gm25137	snRNA
ENSMUSG00000035963	10	79639526	79645738	Odf3l2	protein_coding
ENSMUSG00000068015	14	74754674	74947877	Lrch1	protein_coding
ENSMUSG00000004939	10	81198170	81202037	Nmrk2	protein_coding
ENSMUSG00000070074	16	14159626	14159692	Mir484	miRNA
ENSMUSG00000084649	10	31317169	31317281	n-R5s76	rRNA
ENSMUSG00000092675	4	43631425	43631557	Gm25262	miRNA
ENSMUSG00000087923	4	114844985	114845117	Gm23230	snRNA
ENSMUSG00000099126	X	103623551	103623755	Gm27321	misc_RNA
ENSMUSG00000088737	14	66591606	66591695	Gm23899	rRNA
ENSMUSG00000017756	13	73763697	73816743	Slc12a7	protein_coding
ENSMUSG00000037149	12	13219308	13249213	Ddx1	protein_coding
ENSMUSG00000089203	12	24779018	24779146	Gm26211	snoRNA
ENSMUSG00000088649	18	45941007	45941133	Gm26262	snoRNA
ENSMUSG00000084428	17	57747565	57747676	Gm25102	snRNA
ENSMUSG00000022996	15	98771753	98778150	Wnt10b	protein_coding
ENSMUSG00000105411	13	119269486	119269604	Gm44488	miRNA
ENSMUSG00000089487	17	72499289	72499418	Gm24736	snRNA
ENSMUSG00000093061	5	77272757	77272838	Mir5098	miRNA
ENSMUSG00000098441	7	25097066	25097175	Mir6537	miRNA
ENSMUSG00000060166	16	18220754	18235136	Zdhhc8	protein_coding
ENSMUSG00000053465	14	119138415	119869594	Hs6st3	protein_coding
ENSMUSG00000066637	12	9029997	9036394	Ttc32	protein_coding
ENSMUSG00000092918	2	127040561	127040685	Gm24081	miRNA
ENSMUSG00000093139	15	99254882	99255014	Gm25999	snoRNA
